value,ismatch_1,top1,ismatch_2,top2,ismatch_3,top3,ismatch_4,top4,ismatch_5,top5
AGRINA,0,AGRINDO,0,AGRIVAR,0,,0,,0,
AGRINDO,0,AGRINA,0,,0,,0,,0,
AGRIVAR,0,AGRINA,0,,0,,0,,0,
ALAM GROUP,0,SALIM GROUP,0,,0,,0,,0,
ANJ AGRO,0,ANJ GROUP,0,,0,,0,,0,
ANJ GROUP,0,ANJ AGRO,0,,0,,0,,0,
CAM RESOURCES BERHAD,0,NPC RESOURCES BERHAD,0,,0,,0,,0,
DHARMA AGUNG WIJAYA,0,DHARMA AGUNG WIJAYA (DAW),0,,0,,0,,0,
DHARMA AGUNG WIJAYA (DAW),0,DHARMA AGUNG WIJAYA,0,,0,,0,,0,
FANGIONO AGRO PLANTATION,0,FANGIONO AGRO PLANTATION (FAP AGRI),0,,0,,0,,0,
FANGIONO AGRO PLANTATION (FAP AGRI),1,FANGIONO AGRO PLANTATION,0,,0,,0,,0,
GENTING PLANTATIONS,0,GENTING PLANTATIONS,0,,0,,0,,0,
GENTING PLANTATIONS,1,GENTING PLANTATIONS,0,,0,,0,,0,
GOLDEN PLANTATION,0,NOBEL PLANTATION,0,,0,,0,,0,
HAVYS OIL MILL SDN BHD,0,TBS OIL MILL SDN BHD,0,,0,,0,,0,
IJM PLANTATIONS BERHAD,0,TH PLANTATIONS BERHAD,0,,0,,0,,0,
KENCANA AGRI,0,KENCANA AGRI GROUP,0,,0,,0,,0,
KENCANA AGRI GROUP,1,KENCANA AGRI,0,,0,,0,,0,
KILANG KELAPA SAWIT JERANTUT SDN BHD,0,KILANG KELAPA SAWIT SELUMPUR SDN BHD,0,KILANG MINYAK SAWIT MERU SDN BHD,0,,0,,0,
KILANG KELAPA SAWIT SELUMPUR SDN BHD,0,KILANG KELAPA SAWIT JERANTUT SDN BHD,0,,0,,0,,0,
KILANG MINYAK SAWIT MERU SDN BHD,0,KILANG KELAPA SAWIT JERANTUT SDN BHD,0,,0,,0,,0,
KUALA LUMPUR KEPONG (KLK),0,KUALA LUMPUR KEPONG (KLK),0,,0,,0,,0,
KUALA LUMPUR KEPONG (KLK),1,KUALA LUMPUR KEPONG (KLK),0,,0,,0,,0,
NOBEL PLANTATION,0,GOLDEN PLANTATION,0,,0,,0,,0,
NPC RESOURCES BERHAD,0,CAM RESOURCES BERHAD,0,,0,,0,,0,
PASIFIK AGRO SENTOSA,0,PASIFIK AGRO SENTOSA (PAS),0,,0,,0,,0,
PASIFIK AGRO SENTOSA (PAS),1,PASIFIK AGRO SENTOSA,0,,0,,0,,0,
PERTUBUHAN PELADANG NEGERI JOHOR (PPNJ),0,PERTUBUHAN PELADANG NEGERI PERAK (PPNP),0,,0,,0,,0,
PERTUBUHAN PELADANG NEGERI PERAK (PPNP),0,PERTUBUHAN PELADANG NEGERI JOHOR (PPNJ),0,,0,,0,,0,
PTPN III,0,PTPN VII,0,PTPN IV,0,,0,,0,
PTPN IV,0,PTPN VII,0,PTPN III,0,,0,,0,
PTPN VII,0,PTPN III,0,PTPN IV,0,,0,,0,
QL RESOURCES,0,QL RESOURCES,0,,0,,0,,0,
QL RESOURCES,1,QL RESOURCES,0,,0,,0,,0,
SALIM GROUP,0,ALAM GROUP,0,,0,,0,,0,
SIME DARBY,0,SIME DARBY,0,,0,,0,,0,
SIME DARBY,1,SIME DARBY,0,,0,,0,,0,
SINAR ALAM,0,SINAR MAS,0,,0,,0,,0,
SINAR MAS,0,SINAR ALAM,0,,0,,0,,0,
SOCFIN,0,SOCFIN S.A.,0,,0,,0,,0,
SOCFIN S.A.,1,SOCFIN,0,,0,,0,,0,
SOUTHERN GROUP,0,SOUTHERN GROUP THAI,0,,0,,0,,0,
SOUTHERN GROUP THAI,0,SOUTHERN GROUP,0,,0,,0,,0,
SUMBER TANI AGUNG,0,SUMBER TANI AGUNG (STA),0,,0,,0,,0,
SUMBER TANI AGUNG (STA),1,SUMBER TANI AGUNG,0,SUMBER TANI HARAPAN (STH),0,,0,,0,
SUMBER TANI HARAPAN (STH),0,SUMBER TANI AGUNG (STA),0,,0,,0,,0,
TBS OIL MILL SDN BHD,0,HAVYS OIL MILL SDN BHD,0,,0,,0,,0,
TH PLANTATIONS BERHAD,0,IJM PLANTATIONS BERHAD,0,,0,,0,,0,
UNITED PLANTATIONS,0,UNITED PLANTATIONS,0,,0,,0,,0,
UNITED PLANTATIONS,1,UNITED PLANTATIONS,0,,0,,0,,0,
UNIVANICH PALM OIL,0,UNIVANICH PALM OIL PCL,0,UNIVANICH PALM OIL CO. LTD,0,,0,,0,
UNIVANICH PALM OIL CO. LTD,0,UNIVANICH PALM OIL PCL,1,UNIVANICH PALM OIL,0,,0,,0,
UNIVANICH PALM OIL PCL,1,UNIVANICH PALM OIL,0,UNIVANICH PALM OIL CO. LTD,0,,0,,0,
