value,top5,match
NEW BRITAIN PALM OIL,['NEW BRITAIN PALM OIL LTD (OLD)'],NEW BRITAIN PALM OIL LTD (OLD)
AGRO WIRATAMA,['AGRO WIRA LIGATSA'],
SAPI PLANTATION SDN BHD,['SACHIEW PLANTATIONS SDN BHD'],
BERKAT SAWIT SEJATI,['BERKAT SAWIT SEJAHTERA' 'BERKAT SAWIT SUKAMAJU'],
SWADAYA ANDIKA,['SWADAYA INDOPALMA'],
BOUSTEAD PLANTATIONS BHD,['BOUSTEAD PELITA TINJAR SDN BHD'],
AUSTINDO NUSANTARA JAYA AGRI ,['AUSTINDO NUSANTARA JAYA AGRI SIAIS'],AUSTINDO NUSANTARA JAYA AGRI SIAIS
LADANG SABAH SDN BHD,['LADANG SERASA SDN BHD'],LADANG SERASA SDN BHD
PERKEBUNAN NUSANTARA III,"['PERKEBUNAN NUSANTARA XIII' 'PERKEBUNAN NUSANTARA VIII'
 'PERKEBUNAN NUSANTARA II' 'PERKEBUNAN NUSANTARA VII'
 'PERKEBUNAN NUSANTARA I']",
DHARMA SATYA NUSANTARA,['DHARMA SATYA NUSANTARA (DSN)'],DHARMA SATYA NUSANTARA (DSN)
HARAPAN SAWIT LESTARI,['HARAPAN SAWIT SEJAHTERA' 'CAHAYA SAWIT LESTARI'],
BUMI SAWIT PERMAI,['BUMI SAWINDO PERMAI'],BUMI SAWINDO PERMAI
SAWIT MAS SEJAHTERA,['SAWIT SUKSES SEJAHTERA' 'SAWIT RUPAT SEJAHTERA' 'SAWIT MAS NUSANTARA'],
DJUANDA SAWIT LESTARI,['MUARA SAWIT LESTARI'],
WINDU NABATINDO LESTARI,['WINDU NABATINDO ABADI'],
KARYA MAKMUR BAHAGIA,['KARYA MAKMUR ABADI' 'KARYA MAKMUR SEJAHTERA'],
BUMI PERMAI LESTARI,['BUMI HUTANI LESTARI'],
AUSTINDO NUSANTARA JAYA AGRI ,,
AUSTINDO NUSANTARA JAYA AGRI SIAIS,['AUSTINDO NUSANTARA JAYA AGRI '],
TIAN SIANG OILL MILL SDN BHD,"['TIAN SIANG OILL MILL (PERAK) SDN BHD'
 'TIAN SIANG OILL MILL (PAHANG) SDN BHD'
 'TIAN SIANG OILL MILL (AIR KUNING) SDN BHD']",
PERKEBUNAN NUSANTARA IV,"['PERKEBUNAN NUSANTARA XIV' 'PERKEBUNAN NUSANTARA I'
 'PERKEBUNAN NUSANTARA VI' 'PERKEBUNAN NUSANTARA V'
 'PERKEBUNAN NUSANTARA VII']",
THAITALLOW AND OIL CO.LTD,"['THAI TALLOW AND OIL CO, LTD']",
